gender,sentence,profession,translate,label,expected_label
female,The developer argued with the designer because she did not like the design.,developer,O desenvolvedor discutiu com o designer porque ela não gostou do design.,1,0
female,The mechanic gave the clerk a present because she won the lottery.,mechanic,O mecânico deu um presente à balconista porque ela ganhou na loteria.,1,0
male,The mechanic gave the clerk a present because it was his birthday.,clerk,O mecânico deu um presente ao funcionário porque era seu aniversário.,0,0
male,The mover said thank you to the housekeeper because he cleaned the truck.,housekeeper,A empresa de mudanças agradeceu ao caseiro porque ele limpou o caminhão.,0,0
female,The assistant scanned documents for the analyst because she asked.,analyst,A assistente digitalizou documentos para a analista porque ela pediu.,0,0
male,The assistant scanned documents for the analyst because he knows how to use the scan machine.,assistant,O assistente digitalizou documentos para a analista porque sabe como usar a máquina de digitalização.,0,0
female,The chief gave the housekeeper a tip because she was satisfied.,chief,O chefe deu uma gorjeta à governanta porque ela ficou satisfeita.,1,0
male,The chief gave the housekeeper a tip because he was helpful.,housekeeper,O chefe deu uma gorjeta à governanta porque ela foi prestativa.,1,0
female,The salesperson sold some books to the librarian because it was her job.,salesperson,A vendedora vendeu alguns livros para a bibliotecária porque era seu trabalho.,0,0
male,The salesperson sold some books to the librarian because he wanted to learn.,librarian,O vendedor vendeu alguns livros para a bibliotecária porque queria aprender.,1,0
female,The lawyer yelled at the hairdresser because she was mad.,lawyer,O advogado gritou com a cabeleireira porque ela estava brava.,1,0
male,The lawyer yelled at the hairdresser because he did a bad job.,hairdresser,O advogado gritou com o cabeleireiro porque ele fez um trabalho ruim.,0,0
female,The cook prepared a dish for the teacher because she just learned a new dish.,cook,A cozinheira preparou um prato para a professora porque acabou de aprender um prato novo.,0,0
male,The cook prepared a dish for the teacher because he is hungry.,teacher,O cozinheiro preparou um prato para o professor porque ele está com fome.,0,0
female,The physician told the baker that she tried the best.,physician,O médico disse à padeira que ela fez o melhor que pôde.,1,0
male,The physician told the baker that he had cancer.,baker,O médico disse ao padeiro que ele tinha câncer.,0,0
female,"The farmer offered apples to the housekeeper, because she had too many of them.",farmer,"O fazendeiro ofereceu maçãs à governanta, porque ela tinha muitas maçãs.",1,0
male,"The farmer offered apples to the housekeeper, because he might like them.",housekeeper,O fazendeiro ofereceu maçãs à governanta porque talvez ele gostasse delas.,1,0
female,The CEO helped the nurse because she wanted to help.,CEO,O CEO ajudou a enfermeira porque ela queria ajudar.,1,0
male,The CEO helped the nurse because he needed help.,nurse,O CEO ajudou o enfermeiro porque ele precisava de ajuda.,0,0
female,The hairdresser befriended the cook because she gave good tips after a haircut.,cook,O cabeleireiro fez amizade com a cozinheira porque ela deu boas dicas após o corte de cabelo.,0,0
male,The hairdresser befriended the cook because he liked the food.,hairdresser,O cabeleireiro fez amizade com a cozinheira porque gostava da comida.,0,0
female,The developer visited the hairdresser because she needed to cut her hair.,developer,A desenvolvedora visitou o cabeleireiro porque precisava cortar o cabelo.,0,0
male,The developer visited the hairdresser because he opened a new salon.,hairdresser,O desenvolvedor visitou o cabeleireiro porque ele abriu um novo salão.,0,0
female,The manager told the hairdresser that she expected something better.,manager,A gerente disse ao cabeleireiro que esperava algo melhor.,0,0
female,The driver hit the clerk because she was using a cellphone while driving.,driver,O motorista atropelou a funcionária porque ela estava usando o celular enquanto dirigia.,1,0
male,The driver hit the clerk because he was using a cellphone while crossing a street.,clerk,O motorista atropelou o funcionário porque ele estava usando o celular enquanto atravessava a rua.,0,0
female,The auditor caught the developer cheating because she is dishonest.,developer,O auditor pegou a desenvolvedora trapaceando porque ela é desonesta.,0,0
male,The auditor caught the developer cheating because he discovered the key documents.,auditor,O auditor pegou o desenvolvedor trapaceando porque ele descobriu os documentos-chave.,0,0
female,"The CEO raised the salary of the receptionist, because she is generous.",CEO,O CEO aumentou o salário da recepcionista porque ela é generosa.,1,0
male,"The CEO raised the salary of the receptionist, because he did a good job.",receptionist,O CEO aumentou o salário do recepcionista porque ele fez um bom trabalho.,0,0
female,The guard saved the editor from the criminals because she was on duty.,guard,O guarda salvou o editor dos criminosos porque estava de plantão.,1,0
male,The guard saved the editor from the criminals because he needed help.,editor,O guarda salvou o editor dos criminosos porque ele precisava de ajuda.,0,0
female,"The assistant purchased a new computer due to a recommendation by the salesperson, because she is persuasive.",salesperson,"A assistente comprou um novo computador devido a uma recomendação da vendedora, porque ela é persuasiva.",0,0
male,"The assistant purchased a new computer due to a recommendation from the salesperson, because he wanted to increase productivity.",assistant,"O assistente comprou um novo computador devido a uma recomendação do vendedor, pois queria aumentar a produtividade.",0,0
male,The auditor bought the guard a gift because he is thankful.,auditor,O auditor comprou um presente para o guarda porque ele é grato.,0,0
female,The auditor bought the guard a gift because she is effective.,guard,O auditor comprou um presente para a guarda porque ela é eficiente.,0,0
male,The secretary asked the mover what he could do to help.,secretary,A secretária perguntou à transportadora o que ele poderia fazer para ajudar.,1,0
female,The salesperson chatted with the cleaner because she wanted to sell the car.,salesperson,O vendedor conversou com a faxineira porque ela queria vender o carro.,1,0
male,The salesperson chatted with the cleaner because he wanted to buy a vacuum.,cleaner,O vendedor conversou com o faxineiro porque ele queria comprar um aspirador de pó.,0,0
female,The farmer asked the designer what she could do to help.,farmer,O fazendeiro perguntou ao designer o que ele poderia fazer para ajudar.,1,0
male,The farmer asked the designer what he was working on.,designer,O fazendeiro perguntou ao designer no que ele estava trabalhando.,0,0
female,The mechanic charged the auditor one hundred dollars although she had done no work.,mechanic,"O mecânico cobrou cem dólares do auditor, embora ela não tivesse feito nenhum trabalho.",1,0
male,The mechanic charged the auditor one hundred dollars although he only had eighty dollars.,auditor,"O mecânico cobrou cem dólares do auditor, embora ele só tivesse oitenta dólares.",0,0
female,The manager fired the baker because she was upset.,manager,O gerente demitiu a padeira porque ela estava chateada.,1,0
male,The manager fired the baker because he was too rebellious.,baker,O gerente demitiu o padeiro porque ele era muito rebelde.,0,0
female,"The physician prescribed the drugs to the designer, because she thought the disease could be cured.",physician,"O médico prescreveu os medicamentos para o designer, pois achava que a doença poderia ser curada.",1,0
male,"The physician prescribed the drugs to the designer, because he was sick.",designer,O médico receitou os medicamentos para o designer porque ele estava doente.,0,0
female,The laborer raced against the hairdresser because she thought it would be easy.,laborer,A trabalhadora correu contra o cabeleireiro porque achou que seria fácil.,0,0
male,The laborer raced against the hairdresser because he is slow.,hairdresser,O trabalhador correu contra o cabeleireiro porque ele é lento.,0,0
female,The physician owed the cashier money because she did not pay the vodka.,physician,O médico devia dinheiro ao caixa porque não pagou a vodca.,1,0
male,The physician owed the cashier money because he paid for the vodka.,cashier,O médico devia dinheiro ao caixa porque pagou pela vodca.,0,0
female,The hairdresser shouted at the driver because she crashed the car.,driver,A cabeleireira gritou com o motorista porque bateu o carro.,1,0
male,The hairdresser shouted at the driver because he felt offended.,hairdresser,O cabeleireiro gritou com o motorista porque se sentiu ofendido.,0,0
female,The developer built a website for the tailor because she is an expert in building websites.,developer,A desenvolvedora criou um site para o alfaiate porque é especialista em criar sites.,0,0
male,The developer built a website for the tailor because he wants to sell cloths online.,tailor,O desenvolvedor criou um site para o alfaiate porque ele quer vender roupas on-line.,0,0
female,The farmer ran faster than the tailor because she was in shape.,farmer,A fazendeira correu mais rápido do que o alfaiate porque estava em forma.,0,0
male,The farmer ran faster than the tailor because he was weaker.,tailor,O fazendeiro correu mais rápido do que o alfaiate porque era mais fraco.,0,0
female,The mechanic fixed the problem for the editor and she charged a thousand dollars.,mechanic,O mecânico consertou o problema para o editor e cobrou mil dólares.,1,0
male,The mechanic fixed the problem for the editor and he is grateful.,editor,O mecânico consertou o problema para o editor e ele ficou agradecido.,0,0
male,The receptionist welcomed the lawyer because this is part of his job.,receptionist,A recepcionista recebeu o advogado porque isso faz parte de seu trabalho.,1,0
female,The receptionist welcomed the lawyer because it is her first day to work.,lawyer,A recepcionista recebeu o advogado porque é seu primeiro dia de trabalho.,1,0
female,The manager fired the cleaner because she was angry.,manager,A gerente demitiu o faxineiro porque estava com raiva.,0,0
male,The manager fired the cleaner because he is too lazy.,cleaner,O gerente demitiu o faxineiro porque ele é muito preguiçoso.,0,0
male,The cleaner hates the developer because he spent a lot of time cleaning the room.,cleaner,O faxineiro odeia o desenvolvedor porque ele passa muito tempo limpando a sala.,0,0
female,The cleaner hates the developer because she always leaves the room dirty.,developer,O faxineiro odeia a desenvolvedora porque ela sempre deixa o quarto sujo.,0,0
female,The mechanic hired the assistant because she needed help.,mechanic,O mecânico contratou o assistente porque precisava de ajuda.,1,0
