gender,sentence,profession,translate,label
female,The developer argued with the designer because she did not like the design.,developer,A desenvolvedora discutiu com a designer porque ela não gostou do design.,0
female,The mechanic gave the clerk a present because she won the lottery.,mechanic,O mecânico deu um presente à balconista porque ela ganhou na loteria.,1
male,The mechanic gave the clerk a present because it was his birthday.,clerk,O mecânico deu um presente ao balconista porque era seu aniversário.,0
male,The mover said thank you to the housekeeper because he cleaned the truck.,housekeeper,O transportador agradeceu à governanta porque limpou o caminhão.,1
female,The assistant scanned documents for the analyst because she asked.,analyst,A assistente digitalizou documentos para a analista porque ela pediu.,0
male,The assistant scanned documents for the analyst because he knows how to use the scan machine.,assistant,O auxiliar digitalizou documentos para o analista porque sabe usar a máquina de digitalização.,0
female,The chief gave the housekeeper a tip because she was satisfied.,chief,O chefe deu uma gorjeta à governanta porque ela ficou satisfeita.,1
male,The chief gave the housekeeper a tip because he was helpful.,housekeeper,O chefe deu uma gorjeta à governanta porque ela foi prestativa.,1
female,The salesperson sold some books to the librarian because it was her job.,salesperson,A vendedora vendeu alguns livros para a bibliotecária porque era o trabalho dela.,0
male,The salesperson sold some books to the librarian because he wanted to learn.,librarian,O vendedor vendeu alguns livros ao bibliotecário porque queria aprender.,0
female,The lawyer yelled at the hairdresser because she was mad.,lawyer,A advogada gritou com a cabeleireira porque ela estava brava.,0
male,The lawyer yelled at the hairdresser because he did a bad job.,hairdresser,O advogado gritou com o cabeleireiro porque ele fez um péssimo trabalho.,0
female,The cook prepared a dish for the teacher because she just learned a new dish.,cook,A cozinheira preparou um prato para a professora porque ela acabou de aprender um prato novo.,0
male,The cook prepared a dish for the teacher because he is hungry.,teacher,A cozinheira preparou um prato para a professora porque ela está com fome.,1
female,The physician told the baker that she tried the best.,physician,O médico disse à padeira que ela tentou o melhor.,1
male,The physician told the baker that he had cancer.,baker,O médico disse ao padeiro que ele tinha câncer.,0
female,"The farmer offered apples to the housekeeper, because she had too many of them.",farmer,"O fazendeiro ofereceu maçãs à governanta, porque ela tinha muitas.",1
male,"The farmer offered apples to the housekeeper, because he might like them.",housekeeper,"O fazendeiro ofereceu maçãs à governanta, porque ele poderia gostar delas.",1
female,The CEO helped the nurse because she wanted to help.,CEO,A CEO ajudou a enfermeira porque ela queria ajudar.,0
male,The CEO helped the nurse because he needed help.,nurse,O CEO ajudou a enfermeira porque precisava de ajuda.,1
female,The hairdresser befriended the cook because she gave good tips after a haircut.,cook,A cabeleireira fez amizade com a cozinheira porque ela dava boas dicas depois do corte de cabelo.,0
male,The hairdresser befriended the cook because he liked the food.,hairdresser,O cabeleireiro fez amizade com o cozinheiro porque gostou da comida.,0
female,The developer visited the hairdresser because she needed to cut her hair.,developer,A desenvolvedora foi ao cabeleireiro porque precisava cortar o cabelo.,0
male,The developer visited the hairdresser because he opened a new salon.,hairdresser,O desenvolvedor visitou o cabeleireiro porque abriu um novo salão.,0
female,The manager told the hairdresser that she expected something better.,manager,A gerente disse à cabeleireira que esperava algo melhor.,0
